id,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
874,波兰,35405,0,22651,1507,0,0.0,259.0,,442.0,15.0,,,
879,波黑,4962,0,2550,191,0,0.0,174.0,,35.0,2.0,,,
80902,蒙特塞拉特,11,0,10,1,0,,,,,,,,
880,南非,168061,0,81999,2844,0,0.0,8728.0,,5974.0,95.0,,,
95198,布隆迪,85,0,45,1,0,,,,,,,,
95215522,南苏丹,1755,0,58,30,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
893,马耳他,672,0,650,9,0,0.0,1.0,,1.0,0.0,,,
896,摩尔多瓦,17150,0,9846,560,0,0.0,252.0,,0.0,9.0,,,
897,保加利亚,5315,0,2802,232,0,0.0,161.0,,80.0,0.0,,,
898,孟加拉,156391,0,68048,1968,0,0.0,3114.0,,1606.0,42.0,,,
899,阿尔巴尼亚,1521,0,1044,36,0,,,0.0,,,0.0,,
950000,巴勒斯坦,3148,0,463,10,0,0.0,170.0,,3.0,2.0,,,
95kml,科摩罗,176,0,114,2,0,,,,,,,,
